"ST","PWGTP","AGEP","CIT","COW","SCHL","SEX","WAGP","ESR","FOD1P","INDP","NAICSP","POWSP"
1,103,65,1,"Private profit","Bachelor's Degree","Female",41000,"Employed","MATH",7860,"6111",1
1,229,53,1,"Private profit","Bachelor's Degree","Female",20000,"Employed","FINANCE",5380,"45211",1
1,80,36,1,"Local government","Master's Degree","Female",45000,"Employed","MATH",7860,"6111",1
1,36,38,1,"Federal government","Bachelor's Degree","Female",104000,"Employed","MATH",9570,"92M2",1
1,58,85,1,NA,"Master's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,51,60,1,"Private profit","Bachelor's Degree","Female",50000,"Employed","FINANCE",6990,"524",1
1,160,38,1,"State government","Bachelor's Degree","Female",68000,"Employed","STATISTICS",7870,"611M1",1
1,41,22,1,"State government","Bachelor's Degree","Female",2000,"Employed","MATH",7860,"6111",1
1,24,51,1,"Private profit","Bachelor's Degree","Female",60000,"Employed","FINANCE",6870,"52M1",1
1,34,40,1,"Private profit","Bachelor's Degree","Female",25000,"Employed","COMPUTER SCIENCE",3570,"336M",1
1,63,71,1,NA,"Master's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,110,25,1,"Private profit","Bachelor's Degree","Male",36000,"Employed","FINANCE",6170,"484",1
1,119,52,1,"Private profit","Bachelor's Degree","Female",140000,"Employed","COMPUTER SCIENCE",3590,"33641M2",1
1,104,40,1,"Private profit","Bachelor's Degree","Male",120000,"Employed","COMPUTER SCIENCE",7460,"5417",1
1,154,48,1,"Federal government","Bachelor's Degree","Female",85000,"Employed","FINANCE",6370,"491",1
1,18,60,1,"Private profit","Master's Degree","Male",34000,"Employed","MATH",770,"23",1
1,39,30,1,"Local government","Master's Degree","Male",39000,"Employed","FINANCE",7860,"6111",1
1,56,30,5,"State government","Master's Degree","Male",20300,"Employed","STATISTICS",7870,"611M1",1
1,213,59,1,"Self-employed","Bachelor's Degree","Male",0,"Employed","FINANCE",7270,"5411",1
1,239,27,1,"Self-employed","Bachelor's Degree","Male",100000,"Employed","FINANCE",7070,"531",1
1,200,52,1,"Private profit","Bachelor's Degree","Male",175000,"Employed","COMPUTER SCIENCE",3590,"33641M2",1
1,124,48,1,"Private profit","Bachelor's Degree","Female",76000,"Employed","MATH",6870,"52M1",1
1,112,43,1,"Private profit","Master's Degree","Male",104000,"Employed","STATISTICS",6870,"52M1",1
1,125,40,1,"Private profit","Bachelor's Degree","Male",100000,"Employed","COMPUTER SCIENCE",2670,"331M",1
1,16,53,1,"Federal government","Bachelor's Degree","Male",113000,"Employed","MATH",9590,"928P",1
1,18,54,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
1,17,36,1,"Private profit","Doctorate degree","Female",45000,"Employed","MATH",7980,"6212",1
1,17,60,1,"Private profit","Master's Degree","Female",29000,"Employed","MATH",7280,"5412",1
1,97,38,1,"Private profit","Bachelor's Degree","Male",23400,"Employed","MATH",8680,"722Z",1
1,297,46,1,"Self-employed","Master's Degree","Female",0,"Employed","FINANCE",6970,"52M2",13
1,49,51,1,"Private non-profit","Bachelor's Degree","Female",1600,"Not in labor force","FINANCE",7860,"6111",NA
1,52,32,1,"Private profit","Master's Degree","Female",0,"Not in labor force","COMPUTER SCIENCE",5170,"4481",NA
1,65,21,1,"Private profit","Bachelor's Degree","Female",5000,"Employed","MATH",5275,"4511M",1
1,104,52,4,"Private profit","Bachelor's Degree","Female",36000,"Employed","FINANCE",6380,"492",1
1,69,43,1,"Private profit","Bachelor's Degree","Female",10000,"Unemployed","STATISTICS",7870,"611M1",NA
1,93,34,1,"Local government","Bachelor's Degree","Female",48000,"Employed","FINANCE",9370,"9211MP",1
1,131,61,1,NA,"Master's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,67,64,1,"Private profit","Master's Degree","Male",8000,"Employed","MATH",4670,"4411",1
1,53,55,1,"Private profit","Bachelor's Degree","Female",92000,"Employed","STATISTICS",7380,"5415",1
1,118,43,1,"Private profit","Master's Degree","Male",100000,"Employed","FINANCE",6870,"52M1",1
1,53,64,1,"Self-employed","Bachelor's Degree","Male",0,"Not in labor force","FINANCE",6990,"524",NA
1,157,37,1,"Private profit","Bachelor's Degree","Male",110000,"Employed","STATISTICS",7380,"5415",1
1,63,60,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","STATISTICS",NA,"",NA
1,98,56,1,"Private profit","Bachelor's Degree","Male",100000,"Employed","COMPUTER SCIENCE",7290,"5413",1
1,148,39,1,"Private profit","Master's Degree","Female",66000,"Employed","STATISTICS",7290,"5413",1
1,68,25,1,"State government","Master's Degree","Male",62000,"Employed","COMPUTER SCIENCE",7380,"5415",1
1,101,77,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,16,57,1,"Self-employed","Bachelor's Degree","Female",100000,"Employed","FINANCE",7390,"5416",1
1,16,63,1,"Private profit","Bachelor's Degree","Male",78000,"Employed","COMPUTER SCIENCE",2380,"32621",1
1,79,62,1,"Private profit","Bachelor's Degree","Male",12000,"Employed","FINANCE",7070,"531",1
1,97,53,1,"Private profit","Bachelor's Degree","Female",63000,"Employed","COMPUTER SCIENCE",7460,"5417",1
1,86,78,1,NA,"Doctorate degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,248,36,1,"Private profit","Bachelor's Degree","Female",39000,"Employed","COMPUTER SCIENCE",7970,"6211",1
1,94,43,1,"Self-employed","Bachelor's Degree","Male",29000,"Employed","FINANCE",290,"115",1
1,126,45,1,"Private profit","Bachelor's Degree","Male",322000,"Employed","FINANCE",3365,"3341",1
1,184,56,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,31,24,1,"Private profit","Bachelor's Degree","Male",50000,"Employed","FINANCE",2680,"3313",13
1,40,61,1,"Private profit","Master's Degree","Male",70000,"Employed","COMPUTER SCIENCE",7290,"5413",1
1,6,22,1,"Private profit","Bachelor's Degree","Male",13000,"Employed","STATISTICS",2570,"327M",1
1,114,49,1,"State government","Doctorate degree","Male",322000,"Employed","COMPUTER SCIENCE",7870,"611M1",1
1,69,84,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,306,49,1,"Federal government","Doctorate degree","Male",83000,"Employed","FINANCE",9590,"928P",1
1,93,67,1,"Private profit","Bachelor's Degree","Male",17100,"Employed","MATH",5380,"45211",1
1,114,41,1,"Private profit","Bachelor's Degree","Male",62000,"Employed","STATISTICS",7380,"5415",1
1,96,52,1,"Private profit","Bachelor's Degree","Female",73000,"Employed","MATH",7390,"5416",1
1,66,32,1,"Private profit","Bachelor's Degree","Female",40000,"Employed","FINANCE",7290,"5413",1
1,77,31,1,"Private non-profit","Bachelor's Degree","Male",42000,"Not in labor force","MATH",7860,"6111",NA
1,109,25,1,"Private profit","Bachelor's Degree","Female",39700,"Employed","MATH",7290,"5413",1
1,124,44,1,"Private profit","Bachelor's Degree","Female",70000,"Employed","MATH",6970,"52M2",1
1,358,31,5,"Private profit","Doctorate degree","Male",120000,"Employed","STATISTICS",7870,"611M1",1
1,129,54,3,"Private profit","Bachelor's Degree","Female",55000,"Employed","STATISTICS",7380,"5415",1
1,32,44,1,"Private profit","Bachelor's Degree","Male",48000,"Employed","FINANCE",8290,"623M",1
1,168,63,1,"Private profit","Master's Degree","Male",0,"Unemployed","MATH",7390,"5416",NA
1,109,58,1,"Federal government","Bachelor's Degree","Male",75000,"Employed","COMPUTER SCIENCE",9590,"928P",1
1,68,50,1,"Private profit","Bachelor's Degree","Female",322000,"Employed","COMPUTER SCIENCE",3365,"3341",1
1,55,57,1,"Private profit","Master's Degree","Male",29600,"Employed","FINANCE",5380,"45211",1
1,91,40,1,"State government","Bachelor's Degree","Female",55000,"Employed","COMPUTER SCIENCE",9480,"923",1
1,16,60,1,"Private profit","Bachelor's Degree","Male",142000,"Employed","COMPUTER SCIENCE",7460,"5417",1
1,97,29,4,"Private profit","Bachelor's Degree","Male",45000,"Employed","FINANCE",4070,"4231",1
1,37,53,1,"Private profit","Master's Degree","Male",100000,"Employed","FINANCE",3590,"33641M2",1
1,119,50,1,"Private profit","Bachelor's Degree","Male",22000,"Employed","COMPUTER SCIENCE",3380,"3345",1
1,27,31,1,"Private profit","Master's Degree","Male",110000,"Employed","FINANCE",6870,"52M1",1
1,25,38,1,"Private profit","Bachelor's Degree","Male",70000,"Employed","FINANCE",6870,"52M1",1
1,219,35,5,"Private profit","Bachelor's Degree","Male",55000,"Employed","COMPUTER SCIENCE",8680,"722Z",1
1,85,76,1,NA,"Bachelor's Degree","Male",0,"Not in labor force","MATH",NA,"",NA
1,101,59,1,"Private profit","Master's Degree","Female",117000,"Employed","FINANCE",4170,"4234",1
1,269,27,1,"Private profit","Bachelor's Degree","Male",24600,"Employed","STATISTICS",1990,"3231",1
1,115,38,1,"Federal government","Bachelor's Degree","Male",60000,"Employed","COMPUTER SCIENCE",9670,"928110P1",1
1,96,45,4,"State government","Doctorate degree","Male",168000,"Employed","COMPUTER SCIENCE",7870,"611M1",1
1,67,50,1,"Private profit","Master's Degree","Male",119000,"Employed","COMPUTER SCIENCE",7290,"5413",1
1,95,39,5,"Private profit","Bachelor's Degree","Male",116000,"Employed","STATISTICS",6890,"522M",1
1,62,69,1,NA,"Bachelor's Degree","Female",0,"Not in labor force","MATH",NA,"",NA
